coin,symbol,name,price_in_inr,market_cap,trading_volume_inr,high_24h,low_24h,price_change_percentage_24h,last_updated,log_price,volatility_score
bitcoin,btc,Bitcoin,10156353.0,202358541046622,3384245908850,10212765.0,10093151.0,0.09813,2025-09-16 17:27:03.436670,16.133609978981323,0.09813
ethereum,eth,Ethereum,396491.0,47878939417776,2283202673373,400057.0,394592.0,-0.74809,2025-09-16 17:27:03.436670,12.890408621186559,0.74809
ripple,xrp,XRP,266.91,15941024873994,449652780954,267.61,261.77,0.94449,2025-09-16 17:27:03.436670,5.586911522924786,0.94449
tether,usdt,Tether,88.08,14994863996799,7191355699265,88.23,88.02,-0.12892,2025-09-16 17:27:03.436670,4.478245492414424,0.12892
binancecoin,bnb,BNB,81734.0,11376192022549,104368221374,82142.0,80563.0,0.72327,2025-09-16 17:27:03.436670,11.31122535094967,0.72327
solana,sol,Solana,20738.0,11255994343520,659536743898,20926.0,20329.0,-0.31553,2025-09-16 17:27:03.436670,9.939723045118223,0.31553
usd-coin,usdc,USDC,88.04,6444983613022,674776779746,88.17,87.98,-0.10637,2025-09-16 17:27:03.436670,4.477791256658261,0.10637
dogecoin,doge,Dogecoin,23.32,3518946557114,319056796202,23.78,23.13,-0.35687,2025-09-16 17:27:03.436670,3.1493113614822916,0.35687
staked-ether,steth,Lido Staked Ether,396039.0,3408398508325,3799496320,399438.0,393490.0,-0.78215,2025-09-16 17:27:03.436670,12.889267970235789,0.78215
tron,trx,TRON,30.47,2884839708909,57463964443,30.55,30.2,0.02751,2025-09-16 17:27:03.436670,3.416742592997618,0.02751
cardano,ada,Cardano,76.62,2797693248586,142041613129,76.89,75.35,0.66393,2025-09-16 17:27:03.436670,4.338858139272503,0.66393
wrapped-steth,wsteth,Wrapped stETH,480751.0,1495434710711,2159323209,484735.0,478603.0,-0.76509,2025-09-16 17:27:03.436670,13.083104743532067,0.76509
chainlink,link,Chainlink,2081.03,1411232337165,63120633383,2097.88,2031.95,0.91281,2025-09-16 17:27:03.436670,7.6406182424358065,0.91281
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,427752.0,1353519410621,583187834,431357.0,424918.0,-0.72389,2025-09-16 17:27:03.436670,12.966298867371798,0.72389
wrapped-bitcoin,wbtc,Wrapped Bitcoin,10159967.0,1292825235710,12734960370,10214951.0,10085749.0,0.28267,2025-09-16 17:27:03.436670,16.133965752077838,0.28267
hyperliquid,hype,Hyperliquid,4639.48,1256242670646,41439670595,4759.13,4590.41,-1.20926,2025-09-16 17:27:03.436670,8.442357569974588,1.20926
ethena-usde,usde,Ethena USDe,88.03,1209776120502,24579139640,88.39,87.89,-0.24637,2025-09-16 17:27:03.436670,4.4776776654728145,0.24637
avalanche-2,avax,Avalanche,2681.8,1134114145389,111520936972,2720.42,2502.27,5.42015,2025-09-16 17:27:03.436670,7.894243489845541,5.42015
sui,sui,Sui,314.88,1122964244793,82195937888,314.88,306.01,1.14285,2025-09-16 17:27:03.436670,5.752191613863888,1.14285
figure-heloc,figr_heloc,Figure Heloc,87.7,1089640312068,1152461063,87.97,87.44,-0.30061,2025-09-16 17:27:03.436670,4.473921899378137,0.30061
stellar,xlm,Stellar,34.14,1087385397969,20021197269,34.46,33.05,1.94012,2025-09-16 17:27:03.436670,3.5304697173662944,1.94012
wrapped-eeth,weeth,Wrapped eETH,426241.0,1059785554794,3650067022,430061.0,423915.0,-0.72233,2025-09-16 17:27:03.436670,12.962760192987451,0.72233
bitcoin-cash,bch,Bitcoin Cash,52036.0,1036935796428,24521817230,52546.0,51937.0,-0.55295,2025-09-16 17:27:03.436670,10.85969106572145,0.55295
weth,weth,WETH,396742.0,960006850967,30552634044,400055.0,394899.0,-0.73402,2025-09-16 17:27:03.436670,12.891041474354235,0.73402
hedera-hashgraph,hbar,Hedera,20.85,883927497818,18077854750,20.97,20.37,1.25952,2025-09-16 17:27:03.436670,3.0373539482448106,1.25952
leo-token,leo,LEO Token,839.96,772739630830,68048352,843.8,836.88,0.09244,2025-09-16 17:27:03.436670,6.733354271655918,0.09244
litecoin,ltc,Litecoin,10072.02,768609567568,46446843463,10129.57,9893.89,0.31195,2025-09-16 17:27:03.436670,9.21751656142515,0.31195
the-open-network,ton,Toncoin,280.47,713557233073,10115357318,280.79,275.01,0.89837,2025-09-16 17:27:03.436670,5.636466767371334,0.89837
usds,usds,USDS,88.03,707892429978,596906000,88.15,87.95,-0.12119,2025-09-16 17:27:03.436670,4.4776776654728145,0.12119
crypto-com-chain,cro,Cronos,20.15,677667097101,3922517236,20.48,19.98,-1.36937,2025-09-16 17:27:03.436670,3.0032042883926917,1.36937
shiba-inu,shib,Shiba Inu,0.00114883,676836316605,18316360641,0.00115846,0.00114166,-0.59453,2025-09-16 17:27:03.436670,-6.769011245805157,0.59453
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),88.07,597626161784,122218327186,88.27,87.96,-0.09078,2025-09-16 17:27:03.436670,4.478131952817368,0.09078
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,10154419.0,595495329600,24248269421,10214020.0,10094525.0,0.08062,2025-09-16 17:27:03.436670,16.133419538164414,0.08062
polkadot,dot,Polkadot,371.28,564998377849,26083473392,373.7,363.06,0.52854,2025-09-16 17:27:03.436670,5.91695649493292,0.52854
whitebit,wbt,WhiteBIT Coin,3836.12,552850498843,2695588578,3857.09,3821.88,-0.24403,2025-09-16 17:27:03.436670,8.252216718100065,0.24403
world-liberty-financial,wlfi,World Liberty Financial,19.47,530759516531,44190520052,19.83,18.55,1.0394,2025-09-16 17:27:03.436670,2.968874819384108,1.0394
monero,xmr,Monero,28732.0,530474871454,12052562643,28740.0,26188.0,5.4231,2025-09-16 17:27:03.436670,10.265766763194693,5.4231
ethena-staked-usde,susde,Ethena Staked USDe,105.47,528768995524,1451373277,105.67,105.43,-0.11781,2025-09-16 17:27:03.436670,4.658426552288523,0.11781
uniswap,uni,Uniswap,817.05,491117050327,24972892681,821.18,800.1,1.39602,2025-09-16 17:27:03.436670,6.705700292497793,1.39602
mantle,mnt,Mantle,148.34,482576023594,44660481391,151.89,141.28,-2.05559,2025-09-16 17:27:03.436670,4.999506936308412,2.05559
ethena,ena,Ethena,62.04,427592768318,66109535049,66.3,60.57,-2.75206,2025-09-16 17:27:03.436670,4.127779338308338,2.75206
dai,dai,Dai,88.06,404955497900,11623136457,88.25,87.92,-0.05454,2025-09-16 17:27:03.436670,4.478018400327608,0.05454
bitget-token,bgb,Bitget Token,439.07,403794985746,10167548272,440.84,430.13,1.86794,2025-09-16 17:27:03.436670,6.084658853666806,1.86794
pepe,pepe,Pepe,0.00094946,399530974427,45672133816,0.00095568,0.0009342,-0.56237,2025-09-16 17:27:03.436670,-6.9596171560348115,0.56237
aave,aave,Aave,25980.0,395886492618,29442622175,26434.0,25875.0,-1.4645,2025-09-16 17:27:03.436670,10.165082290224591,1.4645
memecore,m,MemeCore,221.52,370344765715,2781264802,225.37,215.24,-0.18756,2025-09-16 17:27:03.436670,5.400512878862706,0.18756
okb,okb,OKB,17225.64,361738551534,7519705652,17522.21,17061.34,-0.74341,2025-09-16 17:27:03.436670,9.754154250489151,0.74341
jito-staked-sol,jitosol,Jito Staked SOL,25500.0,310705235702,3683943578,25719.0,24987.0,-0.19169,2025-09-16 17:27:03.436670,10.146433731146518,0.19169
near,near,NEAR Protocol,236.49,295353461529,11846818126,237.55,227.91,2.10802,2025-09-16 17:27:03.436670,5.465905923739927,2.10802
ondo-finance,ondo,Ondo,91.99,290463677026,12013178842,92.23,89.23,1.51643,2025-09-16 17:27:03.436670,4.521679875489066,1.51643
