id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated
bitcoin,btc,Bitcoin,10174702.0,202701782484826,2801069532090,10342766.0,10144108.0,-1.28516,2025-09-20 09:38:57.333907
ethereum,eth,Ethereum,393511.0,47490335780264,2260309749890,402386.0,391428.0,-1.75427,2025-09-20 09:38:57.333907
ripple,xrp,XRP,263.62,15756421016273,380520605053,269.45,262.74,-1.6883,2025-09-20 09:38:57.333907
tether,usdt,Tether,88.14,15110842263252,6411855855617,88.36,88.11,-0.15502,2025-09-20 09:38:57.333907
binancecoin,bnb,BNB,87376.0,12161219904843,195303889331,88259.0,86016.0,0.61927,2025-09-20 09:38:57.333907
solana,sol,Solana,20977.0,11386950848004,628528324404,21680.0,20800.0,-2.57926,2025-09-20 09:38:57.333907
usd-coin,usdc,USDC,88.07,6532835017670,853103241780,88.3,88.05,-0.17288,2025-09-20 09:38:57.333907
dogecoin,doge,Dogecoin,23.35,3525394489988,238149993641,24.47,23.23,-3.67281,2025-09-20 09:38:57.333907
staked-ether,steth,Lido Staked Ether,392966.0,3370392474551,3303027549,401870.0,391147.0,-1.81903,2025-09-20 09:38:57.333907
tron,trx,TRON,30.37,2875236926900,63562675812,30.71,30.23,-0.88944,2025-09-20 09:38:57.333907
cardano,ada,Cardano,78.71,2874222860253,149058211980,81.46,78.22,-2.68298,2025-09-20 09:38:57.333907
wrapped-steth,wsteth,Wrapped stETH,477191.0,1500934125465,3957212851,487908.0,474898.0,-1.79239,2025-09-20 09:38:57.333907
chainlink,link,Chainlink,2065.48,1400608373055,85626021505,2186.94,2058.47,-3.81821,2025-09-20 09:38:57.333907
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,424306.0,1342583963266,803864604,433764.0,422077.0,-1.77454,2025-09-20 09:38:57.333907
hyperliquid,hype,Hyperliquid,4930.03,1334874987709,38019765882,5069.06,4873.02,-2.25731,2025-09-20 09:38:57.333907
wrapped-bitcoin,wbtc,Wrapped Bitcoin,10172983.0,1294738174187,11749726263,10338246.0,10129653.0,-1.32682,2025-09-20 09:38:57.333907
avalanche-2,avax,Avalanche,2968.62,1253196900884,106181679938,3070.32,2950.01,-2.81718,2025-09-20 09:38:57.333907
ethena-usde,usde,Ethena USDe,88.23,1237871157738,14541669002,88.48,88.04,-0.05224,2025-09-20 09:38:57.333907
sui,sui,Sui,324.74,1159209444058,143226392748,340.81,319.04,-3.83978,2025-09-20 09:38:57.333907
figure-heloc,figr_heloc,Figure Heloc,87.87,1103483112854,1713931154,91.94,87.87,-3.87372,2025-09-20 09:38:57.333907
